Дата,Наличка на начало,Приход нал,Приход эквайринг (сверка),Расход прочее,Описание расхода прочее,Наличка на конец (факт),Наличка в программе,Сходится? (да/нет),Чеки отданы бухгалтеру (да/нет),Комментарий
2026-08-17,,,,,,,,,,
,,,,,,,,,,
Подсказки,,,,,,,,,,
Наличка на начало,Сколько лежит в кассе утром после пересчёта,,,,,,,,,
Приход нал / эквайринг,Сверяй с чеками и с Инфопредприятием,,,,,,,,,
Расход прочее,Любые траты из кассы кроме грузчика (грузчик — отдельный лист),,,,,,,,,
Сходится?,Факт (пересчёт) vs программа — должно быть «да»,,,,,,,,,
